district_name,num_transactions,transaction_amount_rupees,year,state_name,quarter
kallakkurichi district,3330128,6197053072.30322,2022,tamil-nadu,4
viluppuram district,3886476,6442185710.5079155,2022,tamil-nadu,4
pudukkottai district,2351358,4756557513.936826,2022,tamil-nadu,4
perambalur district,1139212,2139737159.8272598,2022,tamil-nadu,4
coimbatore district,40259816,56926594389.65879,2022,tamil-nadu,4
virudhunagar district,3538938,7070008076.062214,2022,tamil-nadu,4
dindigul district,6357637,12201984709.758507,2022,tamil-nadu,4
sivaganga district,2386560,4894047781.374544,2022,tamil-nadu,4
tenkasi district,1883458,4139835704.6142645,2022,tamil-nadu,4
chengalpattu district,109159290,143850411731.03555,2022,tamil-nadu,4
kanniyakumari district,3950782,8142588843.674078,2022,tamil-nadu,4
tirunelveli district,4027170,7605241924.228041,2022,tamil-nadu,4
thiruvallur district,27335584,41018657465.028946,2022,tamil-nadu,4
theni district,3444290,6887377073.070898,2022,tamil-nadu,4
ranipet district,3737957,6482440332.589865,2022,tamil-nadu,4
namakkal district,6710663,12192052206.513931,2022,tamil-nadu,4
vellore district,6821759,11677039040.344677,2022,tamil-nadu,4
thiruvarur district,1293487,2670800447.3045335,2022,tamil-nadu,4
tiruchirappalli district,14278556,23716041524.0,2024,tamil-nadu,1
ramanathapuram district,4518193,8591728211.0,2024,tamil-nadu,1
krishnagiri district,42695248,61415392428.0,2024,tamil-nadu,1
cuddalore district,10764557,16876011437.0,2024,tamil-nadu,1
kancheepuram district,38497430,44400961508.0,2024,tamil-nadu,1
tiruppur district,36955831,42134355819.0,2024,tamil-nadu,1
dharmapuri district,17857287,31492929049.0,2024,tamil-nadu,1
thoothukkudi district,7514515,11723950330.0,2024,tamil-nadu,1
thanjavur district,8245372,14554478613.0,2024,tamil-nadu,1
madurai district,17834154,30974869226.0,2024,tamil-nadu,1
tiruvannamalai district,12435111,19953702825.0,2024,tamil-nadu,1
salem district,27703215,46990936545.0,2024,tamil-nadu,1
nagapattinam district,4639442,7799907638.0,2024,tamil-nadu,1
tirupathur district,12357042,18634929706.0,2024,tamil-nadu,1
ariyalur district,2809349,4664522239.0,2024,tamil-nadu,1
chennai district,67130965,86437941385.0,2024,tamil-nadu,1
the nilgiris district,4609568,6738423454.0,2024,tamil-nadu,1
erode district,15009886,22025247558.0,2024,tamil-nadu,1
karur district,5686148,9454652190.0,2024,tamil-nadu,1
kallakkurichi district,8605524,14256574453.0,2024,tamil-nadu,1
viluppuram district,7824816,11860971846.0,2024,tamil-nadu,1
pudukkottai district,5110066,9486889594.0,2024,tamil-nadu,1
perambalur district,2738023,4634690995.0,2024,tamil-nadu,1
coimbatore district,51806989,63108899538.0,2024,tamil-nadu,1
virudhunagar district,7747240,12535619113.0,2024,tamil-nadu,1
dindigul district,13213698,22741790454.0,2024,tamil-nadu,1
sivaganga district,5363789,9910772114.0,2024,tamil-nadu,1
tenkasi district,4414733,8125305102.0,2024,tamil-nadu,1
chengalpattu district,60815742,69247029303.0,2024,tamil-nadu,1
kanniyakumari district,8527560,15426767691.0,2024,tamil-nadu,1
tirunelveli district,8399886,13224686874.0,2024,tamil-nadu,1
thiruvallur district,59336655,77683542938.0,2024,tamil-nadu,1
theni district,7258870,12997063512.0,2024,tamil-nadu,1
ranipet district,8376160,12665259558.0,2024,tamil-nadu,1
namakkal district,11020159,19025024942.0,2024,tamil-nadu,1
vellore district,15184049,22787151927.0,2024,tamil-nadu,1
thiruvarur district,3041369,5562089423.0,2024,tamil-nadu,1
tiruchirappalli district,15351657,25266023921.0,2024,tamil-nadu,2
ramanathapuram district,4987419,9265763613.0,2024,tamil-nadu,2
krishnagiri district,47848721,68957002683.0,2024,tamil-nadu,2
cuddalore district,11611589,17892532930.0,2024,tamil-nadu,2
kancheepuram district,42307258,47628986644.0,2024,tamil-nadu,2
tiruppur district,42316705,46184220066.0,2024,tamil-nadu,2
dharmapuri district,19638866,33815774503.0,2024,tamil-nadu,2
thoothukkudi district,8657477,13118807999.0,2024,tamil-nadu,2
thanjavur district,8957084,15587858962.0,2024,tamil-nadu,2
madurai district,19434731,33290392131.0,2024,tamil-nadu,2
tiruvannamalai district,13629210,21128842222.0,2024,tamil-nadu,2
salem district,30507149,49956517271.0,2024,tamil-nadu,2
nagapattinam district,5352101,8479207119.0,2024,tamil-nadu,2
tirupathur district,13800986,20482013908.0,2024,tamil-nadu,2
ariyalur district,3064901,4984382363.0,2024,tamil-nadu,2
chennai district,73051507,91319901718.0,2024,tamil-nadu,2
the nilgiris district,5962923,8600134614.0,2024,tamil-nadu,2
erode district,16760152,23551767767.0,2024,tamil-nadu,2
karur district,6165861,10071848452.0,2024,tamil-nadu,2
kallakkurichi district,9457301,14999757902.0,2024,tamil-nadu,2
viluppuram district,8345444,12395077783.0,2024,tamil-nadu,2
pudukkottai district,5586953,10135123135.0,2024,tamil-nadu,2
perambalur district,2960916,4902632994.0,2024,tamil-nadu,2
coimbatore district,55996858,67209954626.0,2024,tamil-nadu,2
virudhunagar district,8149852,13287939162.0,2024,tamil-nadu,2
dindigul district,14606628,24800680351.0,2024,tamil-nadu,2
sivaganga district,5987642,10822174891.0,2024,tamil-nadu,2
tenkasi district,4954578,8989721297.0,2024,tamil-nadu,2
chengalpattu district,65627036,73590021209.0,2024,tamil-nadu,2
kanniyakumari district,9432847,17278804984.0,2024,tamil-nadu,2
tirunelveli district,9734779,15096455875.0,2024,tamil-nadu,2
thiruvallur district,65557947,83522486746.0,2024,tamil-nadu,2
theni district,8059713,14291314505.0,2024,tamil-nadu,2
ranipet district,9236747,13580537697.0,2024,tamil-nadu,2
namakkal district,12008421,19966128260.0,2024,tamil-nadu,2
vellore district,16681367,24954718319.0,2024,tamil-nadu,2
thiruvarur district,3292360,5745641244.0,2024,tamil-nadu,2
tiruchirappalli district,10559157,19312472102.0,2023,tamil-nadu,1
ramanathapuram district,3161959,6563687794.0,2023,tamil-nadu,1
krishnagiri district,27060721,42985634120.0,2023,tamil-nadu,1
cuddalore district,8048998,13409796716.0,2023,tamil-nadu,1
kancheepuram district,28434059,35659195700.0,2023,tamil-nadu,1
tiruppur district,23102273,31612220617.0,2023,tamil-nadu,1
dharmapuri district,11334419,21758757618.0,2023,tamil-nadu,1
thoothukkudi district,5314189,9347641699.0,2023,tamil-nadu,1
thanjavur district,6039246,11809807012.0,2023,tamil-nadu,1
madurai district,12890979,24763626170.0,2023,tamil-nadu,1
tiruvannamalai district,8350359,14864923318.0,2023,tamil-nadu,1
salem district,19000542,35440342871.0,2023,tamil-nadu,1
nagapattinam district,3351352,6212126931.0,2023,tamil-nadu,1
tirupathur district,8008229,13214504318.0,2023,tamil-nadu,1
ariyalur district,1989043,3657554169.0,2023,tamil-nadu,1
chennai district,54082635,74022904169.0,2023,tamil-nadu,1
the nilgiris district,3531701,5566369984.0,2023,tamil-nadu,1
erode district,10413101,17503707079.0,2023,tamil-nadu,1
karur district,3961099,7285246160.0,2023,tamil-nadu,1
kallakkurichi district,5623808,10284275550.0,2023,tamil-nadu,1
viluppuram district,6134683,9921812743.0,2023,tamil-nadu,1
pudukkottai district,3606871,7297092570.0,2023,tamil-nadu,1
perambalur district,1907989,3496777331.0,2023,tamil-nadu,1
coimbatore district,39368101,51615824209.0,2023,tamil-nadu,1
virudhunagar district,5424618,10110700191.0,2023,tamil-nadu,1
dindigul district,8900167,16763205017.0,2023,tamil-nadu,1
sivaganga district,3844323,7704708708.0,2023,tamil-nadu,1
tenkasi district,3086579,6433449201.0,2023,tamil-nadu,1
chengalpattu district,47785112,56466433731.0,2023,tamil-nadu,1
kanniyakumari district,5769596,11195409956.0,2023,tamil-nadu,1
tirunelveli district,5616592,9968103967.0,2023,tamil-nadu,1
thiruvallur district,44534386,63977916519.0,2023,tamil-nadu,1
theni district,4720868,9400279352.0,2023,tamil-nadu,1
ranipet district,5956104,9898123646.0,2023,tamil-nadu,1
namakkal district,7634185,14447202396.0,2023,tamil-nadu,1
vellore district,10453261,17120886040.0,2023,tamil-nadu,1
thiruvarur district,2211083,4490953844.0,2023,tamil-nadu,1
tiruchirappalli district,11012446,20455452746.0,2023,tamil-nadu,2
ramanathapuram district,3290555,6973064316.0,2023,tamil-nadu,2
krishnagiri district,30480238,48954116395.0,2023,tamil-nadu,2
cuddalore district,8354036,14112465473.0,2023,tamil-nadu,2
kancheepuram district,30960455,38377770025.0,2023,tamil-nadu,2
tiruppur district,25315335,34462188247.0,2023,tamil-nadu,2
dharmapuri district,12289754,23737079024.0,2023,tamil-nadu,2
thoothukkudi district,5717113,10292470339.0,2023,tamil-nadu,2
thanjavur district,6416227,12463249803.0,2023,tamil-nadu,2
madurai district,13702781,26681647309.0,2023,tamil-nadu,2
tiruvannamalai district,9108567,16045360745.0,2023,tamil-nadu,2
salem district,20677006,38483559669.0,2023,tamil-nadu,2
nagapattinam district,3698379,6613294059.0,2023,tamil-nadu,2
tirupathur district,8687983,14506799484.0,2023,tamil-nadu,2
ariyalur district,2071096,3919208327.0,2023,tamil-nadu,2
chennai district,58067196,79752773295.0,2023,tamil-nadu,2
the nilgiris district,4539924,7445469665.0,2023,tamil-nadu,2
erode district,11308928,18665388710.0,2023,tamil-nadu,2
karur district,4190645,7781633847.0,2023,tamil-nadu,2
kallakkurichi district,6125567,11043179815.0,2023,tamil-nadu,2
viluppuram district,6461774,10411166144.0,2023,tamil-nadu,2
pudukkottai district,3753548,7738272578.0,2023,tamil-nadu,2
perambalur district,2004548,3643141277.0,2023,tamil-nadu,2
coimbatore district,41794917,55641017773.0,2023,tamil-nadu,2
virudhunagar district,5672006,10711314340.0,2023,tamil-nadu,2
dindigul district,9690935,18790973063.0,2023,tamil-nadu,2
sivaganga district,3981044,8228850727.0,2023,tamil-nadu,2
tenkasi district,3311027,6929192057.0,2023,tamil-nadu,2
chengalpattu district,51706890,61412309875.0,2023,tamil-nadu,2
kanniyakumari district,6343632,12612790280.0,2023,tamil-nadu,2
tirunelveli district,6188960,11154710120.0,2023,tamil-nadu,2
thiruvallur district,48176846,68546759350.0,2023,tamil-nadu,2
theni district,5149310,10278091794.0,2023,tamil-nadu,2
ranipet district,6422899,10576859341.0,2023,tamil-nadu,2
namakkal district,8133870,15437161656.0,2023,tamil-nadu,2
vellore district,11283787,18879395197.0,2023,tamil-nadu,2
thiruvarur district,2339414,4604374150.0,2023,tamil-nadu,2
tiruchirappalli district,12203674,21741422580.0,2023,tamil-nadu,3
ramanathapuram district,3670023,7603550256.0,2023,tamil-nadu,3
krishnagiri district,34486164,52478701123.0,2023,tamil-nadu,3
cuddalore district,8993898,14964257561.0,2023,tamil-nadu,3
kancheepuram district,34927894,41722664352.0,2023,tamil-nadu,3
tiruppur district,30246050,38263190944.0,2023,tamil-nadu,3
dharmapuri district,13381494,25115860184.0,2023,tamil-nadu,3
thoothukkudi district,6408846,10972909100.0,2023,tamil-nadu,3
thanjavur district,7006160,13205002322.0,2023,tamil-nadu,3
madurai district,15229079,28300320002.0,2023,tamil-nadu,3
tiruvannamalai district,10093012,17271012804.0,2023,tamil-nadu,3
salem district,22733379,40740984216.0,2023,tamil-nadu,3
nagapattinam district,3997287,7112347600.0,2023,tamil-nadu,3
